TransactionID,ItemDescription
1,"Beer,Bread,Milk,Coke,Butter"
2,"Eggs,Bread,Beer,Jam,Milk"
3,"Milk,Bread,Cheese,Beer"
4,"Eggs,Bread"
5,"Eggs,Bread,Coke"
6,"Milk,Bread,Cheese,Beer"
7,"Beer,Coke,Milk"
8,"Bread,Milk,Butter"
9,"Bread,Cheese"
10,"Bread,Jam,Juice,Butter"
11,"Bread,Milk,Juice,Coke,Butter"
12,"Jam,Milk,Butter"
13,"Beer,Jam,Butter"
14,"Bread,Milk,Juice,Cheese,Coke"
15,"Bread,Beer,Milk,Cheese,Coke"
16,"Beer,Juice,Coke,Milk"
17,"Bread,Coke,Milk"
18,"Beer,Jam,Coke,Butter"
19,"Coke,Milk"
20,"Cheese,Milk"
21,"Beer,Milk,Butter"
22,"Bread,Beer,Milk,Butter"
23,"Bread,Cheese,Milk,Butter"
24,"Eggs,Jam,Cheese,Coke,Butter"
25,"Cheese,Milk"
26,"Bread,Jam,Milk"
27,"Bread,Juice,Milk"
28,"Bread,Milk,Butter"
29,"Bread,Milk,Butter"
30,"Bread,Juice,Beer"
31,"Milk,Cheese,Butter"
32,"Bread,Coke,Cheese"
33,"Jam,Cheese,Butter"
34,"Eggs,Bread,Milk,Juice,Cheese"
35,"Milk,Butter"
36,"Bread,Jam,Cheese,Butter"
37,"Eggs,Coke,Butter"
38,"Bread,Cheese"
39,"Bread,Juice,Butter"
40,"Bread,Beer,Jam,Butter"
41,"Beer,Bread,Jam,Juice,Butter"
42,"Bread,Beer,Jam,Milk,Juice"
43,"Coke,Butter"
44,"Jam,Milk"
45,"Jam,Cheese,Butter"
46,"Bread,Butter"
47,"Beer,Jam"
48,"Eggs,Bread,Beer,Juice,Coke"
49,"Eggs,Bread,Milk"
50,"Coke,Milk,Butter"
51,"Juice,Coke"
52,"Eggs,Jam,Juice,Cheese,Butter"
53,"Beer,Bread"
54,"Bread,Juice,Coke,Butter"
55,"Eggs,Bread,Beer,Milk,Coke"
56,"Juice,Coke,Jam,Milk"
57,"Cheese,Milk"
58,"Bread,Juice,Coke,Butter"
59,"Bread,Juice,Milk,Butter"
60,"Bread,Jam,Coke,Milk"
61,"Eggs,Milk,Cheese,Coke,Butter"
