TransactionID,ItemDescription
1,"Milk,Cheese"
2,"Diaper,Butter,Coke"
3,"Jam,Juice,Coke,Eggs"
4,"Juice,Cheese,Coke"
5,"Eggs,Butter,Jam"
6,"Butter,Eggs,Jam,Cheese,Diaper"
7,"Eggs,Beer,Juice,Jam,Milk"
8,"Diaper,Butter,Milk,Jam"
9,"Juice,Beer,Coke,Diaper,Eggs"
10,"Diaper,Milk,Butter,Bread,Juice"
11,"Juice,Coke,Beer"
12,"Jam,Cheese,Diaper"
13,"Beer,Bread,Diaper,Juice,Milk"
14,"Eggs,Milk,Coke,Cheese"
15,"Beer,Milk,Jam,Butter"
16,"Butter,Bread,Coke,Beer,Milk"
17,"Eggs,Cheese,Butter,Juice"
18,"Cheese,Juice,Butter,Diaper"
19,"Bread,Eggs,Beer,Cheese"
20,"Juice,Eggs,Coke,Milk"
21,"Cheese,Eggs"
22,"Diaper,Coke,Cheese,Jam,Beer"
23,"Butter,Beer,Juice,Bread,Diaper"
24,"Coke,Juice,Cheese"
25,"Jam,Cheese,Diaper"
26,"Beer,Juice,Jam,Butter,Cheese"
27,"Bread,Butter,Cheese"
28,"Cheese,Eggs,Juice,Jam"
29,"Juice,Jam,Diaper,Milk,Cheese"
30,"Bread,Juice,Butter,Jam"
31,"Jam,Milk,Coke"
32,"Jam,Diaper,Cheese"
33,"Cheese,Bread"
34,"Beer,Jam"
35,"Jam,Diaper,Bread,Beer,Milk"
36,"Coke,Diaper,Butter,Cheese,Jam"
37,"Jam,Diaper,Milk,Eggs"
38,"Bread,Beer,Jam,Diaper"
39,"Cheese,Beer"
40,"Jam,Butter,Cheese"
41,"Milk,Diaper,Coke,Juice,Bread"
42,"Beer,Cheese,Milk"
43,"Juice,Cheese,Jam,Bread"
44,"Jam,Butter,Cheese,Milk"
45,"Butter,Diaper,Beer"
46,"Beer,Jam,Butter,Cheese"
47,"Eggs,Jam,Bread"
48,"Coke,Juice"
49,"Beer,Juice,Eggs"
50,"Coke,Diaper"
51,"Butter,Cheese"
52,"Eggs,Cheese,Bread"
53,"Bread,Beer,Juice,Butter,Milk"
54,"Milk,Butter"
55,"Beer,Eggs,Juice,Jam"
56,"Milk,Beer,Jam,Cheese,Juice"
57,"Eggs,Juice,Diaper"
58,"Coke,Diaper"
59,"Jam,Butter"
60,"Jam,Diaper"
61,"Jam,Eggs,Beer,Milk,Juice"
62,"Beer,Bread"
63,"Eggs,Coke"
64,"Cheese,Bread"
65,"Butter,Milk"
